Parada, LAT, LON
Plaza de cibeles bus stop,,
Alcala bus stop,,
Principe de vergara bus stop,,
Lopez de hoyos bus stop,,
Padre claret bus stop,,
Avenida alfonso XIII bus stop,,
Avenida ramon y cajal bus stop,,
Lopez de hoyos bus stop,,
Mar caspio bus stop,,
Av bucaramanga bus stop,,
Av celio villalba bus stop,,
Gregorio sanchez herraez bus stop,,
Santa adela susana bus stop,,
Rafaela aparicio bus stop,,
Camino montoro bus stop,,
Avenida juan a. samaranch bus stop,,
Manuel gutierrez mellado bus stop,,
Feliz candela bus stop,,
Leandro silva bus stop,,














